nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab
ALESSANDRO LUCCIOLA MOLON,M,28/10/1971,91,1,0,12,28,0,255002.23,31570.48,30384.44,50567.81,42126.95,31402.04,27611.34,29369.28,10660.58,519.41,789.90,0.00,1030438.74,101372.00,101372.00,101372.00,101372.00,106377.09,105013.12,107668.34,104046.06,98184.61,103661.52
ALEX MARCO SANTANA SOUSA,M,22/06/1972,79,5,8,11,10,5,348773.27,36828.58,39595.76,45254.75,45428.67,30562.91,32839.29,36321.00,33993.98,23336.07,24612.26,0.00,1112649.83,110321.85,111060.20,110244.74,111574.72,111574.72,111574.72,111574.72,111574.72,111574.72,111574.72
ALEXANDRE ROCHA SANTOS PADILHA,M,14/09/1971,90,1,1,87,26,6,283230.47,28905.73,34326.01,51157.02,37221.27,45106.22,23223.65,21479.04,9118.10,10932.37,21600.66,160.40,1114786.73,111641.51,111641.51,111641.51,111641.51,111641.51,111641.51,110013.14,111641.51,111641.51,111641.51
ALEXANDRE FROTA DE ANDRADE,M,14/10/1963,57,2,33,7,0,5,382514.62,47863.87,40252.01,44806.14,24966.69,42290.53,37104.55,24453.51,44820.06,21506.06,34451.20,20000.00,1086843.56,107991.60,111429.16,109887.26,108754.73,110016.99,107515.45,106646.50,110875.93,109669.60,104056.34
FERNANDO BEZERRA DE SOUZA COELHO FILHO,M,28/02/1984,81,6,5,6,39,4,265195.17,32904.38,26191.67,46599.60,42640.35,22991.65,38141.86,34943.44,7902.03,1389.61,11490.58,0.00,1087816.23,106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.40,110786.15,110786.15
FERNANDO RODOLFO TENORIO DE VASCONCELOS,M,17/11/1983,83,5,4,17,51,3,295230.86,34398.75,34442.45,46954.27,61790.50,42253.99,30175.92,26376.10,10140.69,7883.19,815.00,0.00,1015741.66,110824.90,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.20,90812.99,88404.25
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,M,29/05/1991,82,0,10,13,10,3,280703.15,39534.77,31018.40,49744.00,46765.21,50641.59,43365.67,18271.75,239.65,40.19,487.13,594.79,938905.52,97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.20,71613.40,65419.80
FERNANDO MONTEIRO DE ALBUQUERQUE,M,17/09/1976,87,0,5,17,3,4,313976.39,33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,22923.02,683.97,1095114.70,111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43
ALEXANDRE LEITE DA SILVA,M,18/04/1989,87,0,5,56,8,0,345092.62,36267.67,43626.71,33452.69,51312.23,48150.79,46525.13,23552.93,23766.20,20428.05,18010.22,0.00,947897.17,93571.49,93571.49,93571.49,94428.17,94899.88,94899.88,96331.01,98874.32,93874.72,93874.72
FLAVIANO FLÁVIO BAPTISTA DE MELO,M,17/11/1949,82,0,10,3,1,0,437655.10,34282.68,37155.36,51227.13,29713.90,79405.70,25480.53,38048.40,39592.10,55425.57,27323.73,20000.00,1104480.65,107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.30,110179.56,110179.56
