nome,genero,data_nascimento,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab
NICOLINO BOZZELLA JUNIOR,M,17/08/1980,83,1,8,42,9,5,323600.79,29348.65,39636.09,43735.10,36718.08,40304.87,30143.90,40029.84,26482.22,25062.37,11174.19,965.48,1108661.55,111623.09,111642.57,107512.59,110707.93,111134.28,111357.59,110509.90,111392.57,111392.57,111388.46
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,M,03/11/1979,71,16,5,12,14,3,366087.19,30097.59,41252.22,49713.11,49721.69,45749.21,41212.41,38074.00,37034.37,15502.42,17509.15,221.02,1084232.34,107850.28,108483.94,109030.38,109215.09,109215.09,107121.98,105670.31,109215.09,109215.09,109215.09
CARLOS CAMILO GÓES CAPIBERIBE,M,23/05/1972,89,0,3,67,20,5,337744.18,57270.81,54545.96,40139.58,50674.76,29912.43,32899.67,36174.05,9998.80,8076.55,18051.57,0.00,1098429.16,111508.06,111508.06,111508.06,111508.06,110034.25,109670.30,105908.91,110137.58,107941.38,108704.50
JOÃO BOSCO DA COSTA,M,28/09/1950,88,2,2,37,9,0,377536.38,31663.79,50001.03,50347.54,42678.14,42852.09,50270.89,42871.55,39751.16,27086.09,14.10,0.00,1096871.16,109107.22,111544.51,111544.51,111544.51,111544.51,111544.51,111544.51,106200.33,104641.61,107654.94
ELVINO JOSÉ BOHN GASS,M,05/02/1962,90,0,2,24,15,0,356144.70,30693.35,43618.49,51772.61,63215.02,45029.72,40093.42,35113.72,22679.14,12788.68,11078.65,61.90,1113456.25,111641.36,111557.99,111508.13,111641.38,111641.38,110811.40,111604.98,111604.98,111604.98,109839.67
ALBERTO BARROS CAVALCANTE NETO,M,05/05/1982,88,2,2,66,3,1,240537.12,10761.97,32144.12,50784.42,59974.73,36167.69,18635.29,18846.91,9376.93,3645.06,0.00,200.00,1108460.75,111524.06,108183.95,109814.87,109505.49,111520.15,111370.71,111635.38,111635.38,111635.38,111635.38
JOSE AUGUSTO ROSA,M,04/10/1966,85,4,3,29,39,2,297009.79,32590.99,30742.36,42982.94,38181.18,46093.18,19473.47,21678.43,15614.72,14321.17,34465.04,866.31,1109989.13,111659.59,110586.80,107796.83,111659.59,111659.59,111659.59,110759.70,110888.26,111659.59,111659.59
ANTONIO CARLOS GOMES DA SILVA,M,13/06/1972,92,0,0,21,4,2,266017.48,18748.87,25578.63,34691.71,31224.22,55517.35,34811.05,23121.54,21226.21,8490.46,11675.18,932.26,1012698.46,92948.89,99271.45,96032.28,98637.08,102490.61,102621.52,102621.52,104715.99,106679.56,106679.56
GUILHERME MURARO DERRITE,M,10/10/1984,90,2,0,21,0,0,311577.86,33369.05,45785.15,42375.69,37535.61,31336.58,34084.37,31084.94,27610.70,13235.82,15159.95,0.00,1087142.69,111429.18,111429.18,111078.93,111198.68,111198.68,111198.68,104902.34,104902.34,104902.34,104902.34
CARLOS ALBERTO CHIODINI,M,08/03/1982,85,3,4,25,8,6,257915.07,21142.87,33080.35,34458.92,35659.60,28696.29,31410.11,38827.88,16920.33,11149.03,6369.69,200.00,1088228.66,110052.14,109597.20,107219.44,108994.73,109943.02,110230.95,107098.15,107098.15,107098.15,110896.73
FABIO ABREU COSTA,M,31/12/1972,90,1,1,56,9,0,411441.61,27176.43,43044.36,37886.06,54828.28,65451.97,38676.13,33219.21,38283.53,44917.64,27807.28,150.72,1112307.70,111501.54,111425.25,109950.47,110995.45,111125.87,111505.00,111580.82,111580.83,111580.83,111061.64
WAGNER SOUSA GOMES,M,21/01/1979,31,2,0,0,1,0,141934.34,55521.07,32236.66,11029.18,,,,12950.64,18376.97,6416.85,4739.03,663.94,1112741.02,110473.50,110107.68,111586.87,111652.64,111665.79,110952.40,111665.74,111665.74,111665.74,111304.92
CARLOS GOMES BEZERRA,M,04/11/1941,29,0,0,0,0,0,190129.10,17099.28,53701.17,0.00,,,,2047.03,848.36,647.00,58238.75,57547.51,1115384.57,111611.13,111611.13,111611.13,111611.13,111611.13,111611.13,110884.40,111611.13,111611.13,111611.13
CARLOS ROBERTO COELHO DE MATTOS JÚNIOR,M,08/02/1982,84,5,3,10,0,0,193058.73,17012.14,20943.23,27544.00,16413.28,29052.38,31940.35,20649.20,10845.10,8605.79,8978.05,1075.21,1079427.92,107840.49,111522.26,105827.62,98809.78,110447.03,111102.14,104135.41,108845.03,110375.04,110523.12
CARLOS HENRIQUE FOCESI SAMPAIO,M,31/03/1963,87,4,1,14,5,0,314513.00,25615.74,54934.33,51456.20,45438.40,42806.53,22600.90,21181.85,14951.58,15364.01,20163.46,0.00,1059385.24,103852.96,107767.17,108820.89,108820.89,108689.99,104762.85,103243.66,104762.85,104762.85,103901.13
ALEXIS JOSEPH STEVERLYNCK FONTEYNE,M,19/08/1967,87,5,0,69,10,0,173097.56,15079.30,25352.66,21515.84,17575.86,19090.52,15633.19,14939.48,14874.72,14285.99,14750.00,0.00,588885.13,61420.54,57990.13,52202.06,51959.82,52576.18,60029.82,67419.11,64529.03,60379.22,60379.22
ALIEL MACHADO BARK,M,26/02/1989,87,1,4,24,18,4,342766.01,22858.25,39946.86,59163.45,38533.06,76089.49,24295.38,28273.90,23005.48,12282.83,17143.63,1173.68,1081191.02,104192.43,107598.59,109833.85,109833.85,109833.85,109833.85,109833.85,107741.73,105688.07,106800.95
ALTINEU CÔRTES FREITAS COUTINHO,M,13/09/1968,70,0,22,0,0,0,168317.68,22950.23,23219.48,33714.07,29471.47,28820.90,22012.04,2946.96,3780.62,1343.75,0.00,58.16,1085480.54,101858.85,106309.60,106309.60,108949.45,109609.41,109433.70,108595.22,111471.57,111471.57,111471.57
AMARO ROCHA NASCIMENTO NETO,M,04/12/1976,92,0,0,20,7,0,270971.02,42292.73,23497.16,34426.77,47806.82,44977.07,20179.17,24764.49,7547.57,18792.57,5728.27,958.40,1112084.94,111222.90,111222.90,111222.90,111222.90,111222.90,110933.36,111259.27,111259.27,111259.27,111259.27
ALUISIO GUIMARAES MENDES FILHO,M,11/11/1961,89,2,1,72,22,0,308455.37,25340.80,36588.93,41060.22,31580.50,47983.46,29134.59,32169.00,33370.12,18433.71,12794.04,0.00,1054299.62,100867.02,99710.02,103375.35,105273.59,107753.29,105155.90,106424.88,107753.29,108904.58,109081.70
CARLOS HENRIQUE AMORIM,M,21/04/1961,79,12,1,33,24,1,365968.75,38480.40,54727.25,51686.19,49827.56,38169.71,34594.12,36583.75,31857.00,13639.42,15863.38,539.97,1014767.71,107089.41,100838.78,96663.69,98112.79,100925.82,94627.79,96910.28,103302.09,107870.51,108426.55
ANDRÉ CARLOS ALVES DE PAULA FILHO,M,22/07/1961,76,0,16,0,0,0,340822.48,34262.23,35056.09,41491.46,36132.62,46281.81,38561.19,41546.24,23271.30,16356.59,27862.95,0.00,1107604.68,109116.87,111004.52,111278.47,111611.12,110204.24,109741.82,111647.49,111424.82,111426.29,110149.04
ANDRE LUIS GASPAR JANONES,M,05/05/1984,87,4,1,50,12,1,300594.88,22256.52,30867.91,30909.27,30603.82,51016.32,28645.22,24293.97,28516.35,25058.33,26341.83,2085.34,1113576.56,111562.47,109429.47,111562.47,111562.47,111562.47,111562.47,111562.47,111562.47,111574.59,111635.21
ANDRÉ PEIXOTO FIGUEIREDO LIMA,M,10/11/1966,87,0,5,72,23,9,392555.80,34462.62,48224.65,72127.49,49023.71,44041.52,37230.57,31041.15,43503.48,14392.69,18507.92,0.00,1100603.80,111397.30,109731.85,111580.84,111580.84,106864.96,109042.51,109730.58,109931.92,110707.37,110035.63
ANDRÉ FERREIRA RODRIGUES,M,10/12/1972,71,7,14,2,0,0,392896.35,45126.24,53733.48,58912.22,30040.51,48678.14,39121.05,35898.03,34422.07,27181.46,14514.57,5268.58,1115031.78,111547.27,111623.19,111492.29,110929.67,111623.22,111623.22,111623.22,111323.26,111623.22,111623.22
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,M,17/01/1969,92,0,0,9,22,0,362052.15,38429.43,62878.28,57315.01,50615.34,39459.44,46092.84,38070.01,25431.95,1872.37,1887.48,0.00,1112297.24,111574.71,111574.71,111574.71,111574.71,111574.71,111574.71,109488.06,111048.56,111156.18,111156.18
ANDRE DOS SANTOS ABDON,M,10/11/1970,90,2,0,5,40,0,399126.66,39635.39,56554.49,50324.98,62832.08,41453.80,28539.51,28094.20,30183.38,21202.11,35783.42,4523.30,1110523.74,111623.17,111623.17,110842.44,110847.15,110559.33,111023.24,110484.74,111194.25,111641.56,110684.69
ARLINDO CHIGNALIA JUNIOR,M,24/12/1949,86,0,6,17,4,2,245857.25,19052.73,30374.76,36361.36,25872.86,41568.90,29151.95,23823.60,23079.38,10039.24,6532.47,0.00,1106682.95,109865.31,106598.33,111574.67,110818.25,111423.01,111423.01,111441.40,111141.83,111198.57,111198.57
ANDRE LUIZ CARVALHO RIBEIRO,M,27/08/1989,63,0,29,2,8,1,287130.16,24003.48,26127.61,39048.96,35638.26,42647.02,37783.22,29531.60,32503.83,19437.13,409.05,0.00,1108487.53,111010.61,111270.57,111617.19,111617.19,111617.19,110019.66,106829.30,111501.94,111501.94,111501.94
ÁTILA SIDNEY LINS ALBUQUERQUE,M,22/11/1950,70,18,4,10,52,6,375647.89,40815.08,48656.08,88960.10,25226.78,25627.51,55751.96,39958.79,40308.69,8433.75,1909.15,0.00,1101916.24,111623.25,110285.75,109839.91,110283.10,110284.46,111392.74,111392.74,108991.46,106430.09,111392.74
ARTHUR CÉSAR PEREIRA DE LIRA,M,25/06/1969,74,0,18,0,0,0,176874.01,16589.40,24456.70,24580.67,25462.74,25368.31,17145.09,10852.76,12044.58,18813.51,1271.15,289.10,1114717.20,111471.72,111471.72,111471.72,111471.72,111471.72,111471.72,111471.72,111471.72,111471.72,111471.72
ARNALDO CALIL PEREIRA JARDIM,M,08/05/1955,85,1,6,15,14,10,328959.06,37823.57,38275.84,51482.16,49828.38,44393.29,33383.18,26614.91,20321.40,23947.50,2683.35,205.48,1103931.04,104913.63,107636.03,110655.63,111532.25,111532.25,111532.25,111532.25,111532.25,111532.25,111532.25
JOSE AROLDO SOUZA MARTINS,M,03/07/1961,82,3,7,11,9,3,298716.92,31512.26,37662.65,36689.17,28982.93,39208.71,34863.74,19929.95,17257.74,26924.82,25684.95,0.00,1108830.41,111647.50,111647.50,110268.42,111611.13,111611.13,110803.16,107763.81,110182.72,111647.52,111647.52
ARTHUR DE OLIVEIRA MAIA DA SILVA,M,17/08/1964,76,10,6,28,4,3,374324.80,35308.01,40284.32,38045.65,42004.01,39008.65,42234.93,39329.37,39706.79,28272.13,24268.90,5862.04,1068263.22,104391.37,106164.17,109590.30,109514.20,110873.08,108274.74,108274.74,106502.35,102202.45,102475.82
AUREO LIDIO MOREIRA RIBEIRO,M,17/02/1979,87,4,1,44,1,0,236214.63,13290.11,19340.29,35830.76,34360.09,77355.81,25856.64,21729.25,2536.72,3535.30,2379.66,0.00,1093262.21,109256.70,110855.41,110114.53,105572.72,110342.51,109761.58,109008.81,108623.14,109008.81,110718.00
JOAO CARLOS BACELAR BATISTA,M,09/07/1957,82,0,10,22,17,13,326294.18,26982.79,49961.02,42450.93,40683.54,42946.51,35557.84,34806.54,38149.53,1144.94,13296.88,313.66,1114175.05,111532.23,111532.23,111269.06,111532.24,111460.04,110935.35,111387.83,111532.24,111532.24,111461.59
ÁTILA FREITAS LIRA,M,07/04/1947,78,4,10,38,16,2,362588.62,27368.18,28286.74,49504.22,57242.97,40024.49,40329.03,36082.10,38121.27,26915.69,18651.67,62.26,1116233.20,111623.32,111623.32,111623.32,111623.32,111623.32,111623.32,111623.32,111623.32,111623.32,111623.32
AUGUSTO RODRIGUES COUTINHO DE MELO,M,22/10/1962,87,3,2,39,21,2,383544.66,45160.36,50282.74,31848.38,47084.27,51557.80,50070.10,37472.37,25761.40,16881.02,16228.91,11197.31,1078338.72,109231.24,110580.87,111483.62,106382.46,107116.23,110687.98,104644.11,107177.08,106702.93,104332.20
LUIZ FELIPE BALEIA TENUTO ROSSI,M,09/06/1972,79,0,13,21,16,6,274145.52,27400.21,26621.74,33713.16,35517.65,26901.38,39593.94,20224.43,23443.38,20430.29,20134.38,164.96,1047898.19,109118.18,109118.18,109118.18,109118.18,109118.18,107972.95,98261.16,98691.06,98691.06,98691.06
DANIEL COSTA DE FREITAS,M,03/04/1982,77,15,0,3,0,0,294909.83,38606.89,24248.40,40255.97,47999.13,45138.90,30847.10,32894.95,25917.35,4096.46,4904.68,0.00,1099503.46,105697.03,105697.03,109243.35,110816.55,110933.95,111423.11,111423.11,111423.11,111423.11,111423.11
DANIEL GOMES DE ALMEIDA,M,21/01/1955,90,0,2,38,37,0,355283.65,58756.35,47548.42,44459.65,51389.18,32596.32,29676.29,18598.64,16188.74,14756.90,40472.41,840.75,1116596.10,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61,111659.61
DANIEL LUCIO DA SILVEIRA,M,25/11/1982,89,2,1,87,58,1,304626.81,35637.58,37560.86,37098.84,37913.96,39709.62,33297.09,28745.65,27784.42,13563.62,12600.99,714.18,1050905.67,104730.18,106558.15,108774.14,109706.94,105193.39,103433.49,86143.80,107120.36,107862.35,111382.87
DANIEL PIRES COELHO,M,04/11/1978,91,1,0,6,0,0,356643.22,56899.01,47545.19,47271.20,44454.63,36128.30,30323.85,32107.75,22965.49,20599.99,18151.21,196.60,1114987.92,111319.00,111580.81,111580.81,111580.81,111332.51,111580.82,111559.70,111471.69,111474.71,111507.06
DAVID MICHAEL DOS SANTOS MIRANDA,M,10/05/1985,66,11,15,23,7,4,243844.22,35259.28,43349.65,32853.62,45091.15,29890.05,33147.86,10128.77,8151.54,359.02,5613.28,0.00,937841.64,111544.37,111544.37,56799.55,64345.04,100004.66,94914.31,97663.21,102324.88,100368.27,98332.98
DANIEL TRZECIAK DUARTE,M,04/11/1986,86,0,6,31,6,8,212359.17,9307.83,15211.53,16366.04,39352.32,18241.57,20817.46,28100.30,16051.09,16840.25,32070.78,0.00,1044495.31,105455.53,105415.99,105436.13,105982.05,108226.36,109497.39,106036.48,94998.83,99412.79,104033.76
DAVID BEZERRA RIBEIRO SOARES,M,21/12/1973,63,3,11,47,1,12,183939.37,,,31858.14,35507.14,29111.16,37770.69,23083.39,13606.57,7900.18,4802.08,300.02,1068591.77,103135.91,105402.63,105964.51,99800.43,107637.25,108516.33,107977.68,108297.02,111277.52,110582.49
FRANCISCO DANILO BASTOS FORTE,M,01/09/1958,86,3,3,42,21,2,397193.34,67906.91,48807.99,40578.79,52959.10,80716.86,57550.28,22707.17,9622.62,6546.36,9678.36,118.90,1052260.59,109573.04,105109.88,101753.78,107930.59,108735.93,108600.66,101671.79,104239.59,101843.93,102801.40
DANRLEI DE DEUS HINTERHOLZ,M,18/04/1973,50,11,7,17,27,9,217902.33,,,0.00,39413.57,38636.46,43580.07,37837.68,23198.87,19647.18,15588.50,0.00,702641.09,0.00,0.00,3313.89,88602.16,92253.84,99507.11,95073.08,107705.84,108196.00,107989.17
DARCI DE MATOS,M,08/11/1961,80,10,2,55,9,3,264386.24,27456.09,36324.08,39593.29,38942.67,42279.75,18366.03,26329.15,14161.38,1290.05,19146.68,497.07,1112429.82,111593.97,111623.31,111579.26,111659.67,111659.67,110174.35,110543.76,111508.04,111508.04,110579.75
DANILO JORGE DE BARROS CABRAL,M,21/04/1967,83,6,3,8,22,6,272413.48,23243.32,23195.87,25003.47,45722.17,49445.71,26152.01,32469.21,12877.47,8866.71,24597.36,840.18,1005945.69,95045.26,95045.26,94090.38,98095.56,99861.52,99861.52,100443.65,100923.05,111114.04,111465.45
PABLO OLIVA SOUZA,M,26/07/1976,78,14,0,112,30,0,360476.10,28267.00,51491.99,65512.79,64732.08,41341.87,31189.75,32398.76,26832.20,17440.00,988.39,281.27,977905.08,99985.47,73344.51,92308.59,99950.28,106315.17,106987.85,101323.39,101342.41,107310.62,89036.79
ANTÔNIO DA LUZ FURTADO,M,06/01/1972,90,1,1,73,18,6,282344.68,34263.89,43088.49,42959.20,32920.98,47359.21,16303.12,19852.22,12243.23,8009.70,21960.09,3384.55,1115182.54,110967.56,111125.87,111617.20,111617.20,111617.20,111623.07,111653.61,111653.61,111653.61,111653.61
DIEGO LEONARDO DE ANDRADE CARVALHO,M,08/08/1977,70,0,22,7,9,11,201719.62,27409.47,32013.45,29883.01,17554.55,41393.91,15224.17,22079.82,8663.35,7497.89,0.00,0.00,1109625.13,111580.82,111580.82,111580.82,111580.82,111580.82,111535.53,111241.15,110635.35,109154.50,109154.50
WALDIR SOARES DE OLIVEIRA,M,28/11/1962,86,0,6,7,44,5,137419.65,14119.59,16610.96,17642.50,17254.73,17514.69,15282.52,15088.53,12955.79,10015.33,421.51,513.50,987728.92,101978.63,99618.58,96319.60,92534.14,92534.14,94998.88,101543.63,103436.75,102749.57,102015.00
DENIS ANDERSON DA ROCHA BEZERRA,M,17/03/1980,88,3,1,69,9,1,369035.79,46094.78,53674.69,52475.51,52185.85,40861.85,33475.40,24901.37,18145.39,17544.23,29104.45,572.27,1078559.49,110743.73,108800.92,108144.99,106767.55,106327.19,107307.01,102136.31,107474.82,111617.19,109239.78
MARCELO EDUARDO FREITAS,M,04/03/1976,80,8,4,66,1,1,286506.30,31421.05,43796.10,33737.54,24745.40,39348.34,29355.58,26303.93,19417.00,19550.28,18173.84,657.24,1067668.96,104088.18,105813.10,103290.21,102664.07,110724.59,111483.80,111483.80,107272.97,107289.51,103558.73
EDER MAURO CARDOSO BARRA,M,14/12/1960,79,10,3,4,12,0,325195.22,46351.28,56697.20,17871.34,52514.33,52104.65,51446.49,39019.70,6514.58,2675.65,0.00,0.00,1101131.44,111587.65,111029.67,109774.54,111611.12,111611.12,111168.32,110779.91,107856.37,107856.37,107856.37
DIEGO ALEXSANDER GONCALO PAULA GARCIA,M,10/10/1984,89,0,3,134,43,3,255305.66,9153.29,13917.88,34929.43,39069.90,47847.45,36301.69,32663.59,20267.53,6819.55,11053.47,3281.88,916158.19,93054.98,91310.31,97522.54,98459.58,96593.67,96173.37,99859.25,84300.62,79772.64,79111.23
DOMINGOS SÁVIO CAMPOS RESENDE,M,25/03/1957,87,2,3,29,6,1,307857.07,24341.19,50435.52,43947.22,32735.37,48074.76,26928.66,27300.43,24815.98,18843.40,9599.00,835.54,1108990.28,109833.82,109833.82,111183.95,111653.56,110747.01,110990.37,111313.88,110806.11,111313.88,111313.88
LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,M,15/12/1973,67,25,0,14,22,0,260002.60,27501.17,33784.37,41465.77,43233.68,38833.58,24163.31,23117.56,18685.19,9168.17,0.00,49.80,1074387.81,97653.62,97653.62,108819.42,110434.31,110434.31,110434.31,110434.31,110413.15,111647.44,106463.32
CARLOS ALBERTO ROLIM ZARATTINI,M,08/06/1959,86,4,2,20,19,1,297144.40,27151.54,32367.11,64118.33,25278.01,55777.06,28292.59,25051.27,14054.68,10433.06,13858.47,762.28,1115444.20,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42
CASSIO COELHO ANDRADE,M,12/09/1981,70,0,22,36,25,15,302152.96,21728.53,30200.32,26323.38,50683.51,58046.30,36031.58,14449.73,9264.77,3863.84,51561.00,0.00,1114161.17,111653.55,111594.40,111574.68,111574.68,111574.68,111574.67,110238.62,111444.93,111465.48,111465.48
JOSÉ CARLOS VERAS DOS SANTOS,M,10/08/1981,89,0,3,42,33,8,337620.48,23450.32,50658.26,60586.84,37074.81,65132.56,29707.30,34668.74,24844.59,5992.91,5504.15,0.00,1062773.43,102271.86,100443.89,100443.89,105043.78,108026.51,106855.41,109678.36,109831.56,109119.16,111059.01
DOMINGOS GOMES DE AGUIAR NETO,M,29/04/1988,79,7,6,30,25,6,341688.98,33731.48,52313.10,36169.17,53317.93,77719.59,22751.47,19502.64,3346.59,2837.01,40000.00,0.00,1105842.15,111544.43,111544.43,110497.19,107599.23,111235.68,111617.24,111617.24,111617.24,111617.24,106952.23
DIMAS FABIANO TOLEDO JÚNIOR,M,23/05/1973,86,1,5,18,1,3,280254.39,30575.40,29897.78,33987.99,37782.58,34645.39,23877.46,33775.98,26291.36,16347.48,12634.33,438.64,965287.10,92717.74,90647.71,88844.00,89894.36,93796.44,94254.41,100197.24,96972.36,108044.05,109918.79
CELIO ALVES DE MOURA,M,13/08/1953,88,4,0,55,34,0,433740.30,31534.98,24693.74,51336.16,56438.80,65154.84,58388.47,36339.51,45541.60,25197.73,35259.62,3854.85,1115443.80,111544.38,111544.38,111544.38,111544.38,111544.38,111544.38,111544.38,111544.38,111544.38,111544.38
CELIO ANTONIO DA SILVEIRA,M,19/09/1959,88,0,4,31,6,1,233944.75,18102.06,29238.30,30935.93,27982.39,31959.23,18044.17,17332.28,17806.01,16854.28,25646.41,43.69,1113420.47,111671.79,111671.79,111671.79,111671.79,111671.79,110968.96,109631.33,111578.65,111441.29,111441.29
CELIO STUDART BARBOSA,M,19/06/1987,80,9,3,16,16,3,330702.47,42405.28,77088.77,34915.78,50390.81,46271.91,22564.85,25601.39,14560.40,4343.55,12409.73,150.00,1098247.56,111276.50,111198.61,111550.82,111653.55,111653.55,107237.22,111313.87,108312.84,107025.30,107025.30
CELSO MALDANER,M,30/08/1953,82,5,5,22,1,2,315669.00,24041.12,30121.77,39390.58,32327.41,41007.63,27013.34,28086.87,25892.83,22035.17,45612.04,140.24,1104561.40,111010.67,111140.65,111370.11,108394.27,109190.92,109485.71,110743.36,111470.49,111162.32,110592.90
CELSO SABINO DE OLIVEIRA,M,29/08/1978,77,9,6,28,13,4,335516.25,35687.11,41271.47,41719.51,35533.17,53029.49,42929.38,37781.33,16249.92,14266.05,16996.32,52.50,1084859.43,111111.11,111280.24,111379.14,110872.20,109110.72,108438.60,109562.14,105568.87,103896.09,103640.32
CELSO UBIRAJARA RUSSOMANNO,M,20/08/1956,89,1,2,30,3,5,169493.77,5918.88,28583.18,23440.72,32244.15,24383.53,25438.32,19954.21,5651.37,1220.62,2658.79,0.00,1026873.67,96961.81,98308.99,100425.40,103329.11,103522.12,104152.03,107493.07,105272.98,103828.92,103579.24
ANTONIO CEZAR CORREIA FREIRE,M,12/12/1973,85,7,0,38,39,0,322276.68,37003.29,36167.38,38256.80,50290.01,47505.37,20781.53,34316.10,29210.00,16683.05,11517.09,546.06,1112642.54,111383.97,110930.03,111423.09,111423.09,111169.89,111423.09,110326.94,111485.72,111538.36,111538.36
CHARLES FERNANDES SILVEIRA SANTANA,M,15/03/1965,90,1,1,35,6,0,317334.15,24256.26,47074.05,50658.86,46560.45,48292.35,27745.84,27027.00,19586.71,19284.11,6000.00,848.52,1112836.72,111439.65,111389.19,111507.90,111507.88,110522.28,111149.99,111433.52,111507.87,111507.87,110870.57
CHARLLES THOMACELLI EVANGELISTA,M,27/12/1984,88,2,2,27,4,5,267395.69,22449.08,36430.49,47122.47,36668.39,49948.09,24701.10,21331.84,25587.97,1432.93,1723.33,0.00,1059386.34,102330.37,102010.39,103658.78,105928.21,106859.77,104041.72,106811.02,110258.36,110258.36,107229.36
FRANCISCO JOSÉ D'ANGELO PINTO,M,11/02/1953,83,6,3,31,34,2,280812.50,31896.36,27273.29,30877.95,43620.43,41207.47,32636.24,30772.24,20679.40,17785.93,4063.19,0.00,1113229.62,111574.71,111574.71,110060.41,111423.07,111423.07,111423.07,111423.07,111423.07,111423.07,111481.37
CHRISTINO AUREO DA SILVA,M,26/04/1962,87,0,5,22,7,7,361307.10,35707.47,43836.64,42917.16,48167.17,53926.39,32622.07,26143.21,21788.64,18368.80,37504.39,325.16,1111010.04,111412.57,111647.36,107066.29,111310.13,111604.92,111604.92,111604.92,111604.92,111585.50,111568.51
CLÁUDIO CAJADO SAMPAIO,M,01/12/1963,81,1,10,24,1,2,315267.50,25338.77,40167.84,53444.52,42649.60,27640.24,33006.34,28893.21,31157.71,9849.66,22919.61,200.00,1102608.00,111538.31,107663.10,107365.01,108851.14,111611.11,111611.11,111611.11,111611.11,111611.11,109134.89
CLEBER VERDE CORDEIRO MENDES,M,10/05/1972,91,0,1,15,19,0,272909.88,14582.42,18944.35,47074.36,45118.81,99276.90,13222.16,16834.74,8782.05,4751.79,4322.30,0.00,1091392.63,110588.35,105407.76,109632.33,97860.55,111342.09,111580.81,111580.81,111580.81,111580.81,110238.31
JOÃO FRANCISCO INÁCIO BRAZÃO,M,22/02/1962,84,8,0,50,4,0,291427.25,5628.16,25886.77,61019.13,45809.13,49940.05,27195.38,11919.52,9234.91,18772.95,36021.25,0.00,1114045.59,111623.18,110117.12,110943.03,111623.18,111623.18,111623.18,111623.18,111623.18,111623.18,111623.18
JOÃO CHRISÓSTOMO DE MOURA,M,23/06/1959,89,3,0,68,35,0,367958.23,43569.56,50409.86,41654.50,41798.47,49488.53,35493.95,36213.06,25552.93,15905.04,27378.01,494.32,1064563.22,107323.44,106208.72,102467.86,107196.50,98159.34,108000.77,107946.98,108363.78,109587.98,109307.85
LUIS ANTONIO FRANCISCATTO COVATTI,M,25/07/1987,89,3,0,33,12,1,351828.20,39901.49,64904.76,45888.49,45547.51,61494.69,34354.07,35673.58,7646.43,612.00,15105.40,699.78,1087781.16,110922.09,111617.12,107422.09,109771.87,110840.89,108844.64,97398.86,110212.41,110288.12,110463.07
LUIZ ARMANDO SCHROEDER REIS,M,23/06/1957,84,4,4,40,1,0,242139.22,12148.50,26826.54,33216.85,48925.26,49749.39,25127.17,20027.71,10975.22,4534.03,9709.47,899.08,1092037.31,101236.10,103071.39,111201.67,110216.08,110773.16,111095.62,111269.37,111508.09,111508.09,110157.74
MARCIO TADEU ANHAIA DE LEMOS,M,30/09/1965,88,4,0,61,14,0,322124.15,37359.64,45903.08,33260.17,32063.81,48565.66,27237.62,25482.15,17392.78,17775.38,18817.49,18266.37,1088567.27,111127.47,109317.63,107351.00,101360.55,110345.01,108448.48,106340.00,111358.01,111459.56,111459.56
CRISTIANO DUTRA VALE,M,10/04/1970,80,0,12,25,3,5,326930.23,20452.98,49639.93,30338.48,43108.68,49829.99,38126.87,26721.78,30470.89,32141.42,5873.85,225.36,1053658.38,110040.22,103847.89,110040.22,105919.51,103859.15,98892.22,97650.62,104977.00,107755.43,110676.12
JOSIAS MARIO DA VITORIA,M,02/06/1971,89,3,0,0,0,0,336091.49,39721.75,61373.19,36361.78,48373.97,37143.23,27515.03,30632.01,27567.15,23415.71,3962.95,24.72,1103849.80,109916.03,109232.89,110340.24,110968.15,110968.15,110968.15,111559.84,110395.01,111192.57,108308.77
DAMIÃO FELICIANO DA SILVA,M,28/04/1952,81,1,10,29,24,7,296601.23,33696.89,30513.30,45137.92,53251.62,39985.25,21830.00,19723.61,12971.79,10939.09,27967.01,584.75,1061513.65,111054.03,106603.56,94753.60,91868.67,107855.77,111429.12,111429.12,109759.06,107977.67,108783.05
DAGOBERTO NOGUEIRA FILHO,M,21/07/1955,80,2,10,4,0,0,386909.13,33561.82,43913.03,45172.41,46082.30,39158.72,43879.61,41129.03,39057.91,31905.09,23049.21,0.00,1111346.73,111166.05,111277.60,111277.60,111277.60,111277.60,111277.60,110863.55,110859.05,110859.05,111211.03
